country_idx,iso_id,year_idx,year,actual,fitted,residual
2,ALB,30,1991,-0.3285338126354062,-0.036912164624197996,-0.2916216480112082
2,ALB,31,1992,-0.0745846648382482,-0.0453729211430719,-0.029211743695176304
2,ALB,32,1993,0.0912967885943736,-0.026641793929996438,0.11793858252437003
2,ALB,33,1994,0.0797614367082282,-0.013406403639189213,0.09316784034741742
2,ALB,34,1995,0.1250660793171683,0.01831618310079497,0.10674989621637332
2,ALB,35,1996,0.0870947016856114,0.0351474424248176,0.0519472592607938
2,ALB,36,1997,-0.1156351648622902,0.021778948827272493,-0.1374141136895627
2,ALB,37,1998,0.0846115508275957,0.017569359783768057,0.06704219104382764
2,ALB,38,1999,0.1212508260551032,0.022570085656612948,0.09868074039849026
2,ALB,39,2000,0.0671558734348636,0.03663856412708866,0.030517309307774937
