iso_id,j0,j1,j2,se_j0,se_j1,se_j2
GNB,1.3654860132782818,0.050824685270310234,-0.0009988309681105215,0.06352614243871642,0.00646669374222059,3.445120108014486e-05
GNQ,1.3461752449115747,0.06255620742670379,-0.001328722507601434,0.10198887395900601,0.007731169835544707,5.4098484956327824e-05
GRC,1.008290422721973,0.04454291872667834,-0.0009437686638204407,0.04686785081259172,0.005980573229596763,2.420455137264936e-05
GRL,1.150616165792335,0.044261806513319235,-0.0009642849293640676,0.07367595715838192,0.006472740205388082,3.620022247769057e-05
GTM,1.1160090371473732,0.04987960328389926,-0.0010034470168792525,0.05138765496818693,0.006160230889055178,2.3862581020194152e-05
GUY,1.1468413825211676,0.048385836657460456,-0.0009579046886827348,0.055370460416799806,0.006192144275620234,2.403037408764956e-05
HKG,1.1119567721609596,0.04484724997077589,-0.0009839876278240692,0.05401108880345076,0.006007268098330281,2.479451982523328e-05
HND,1.1933928618414904,0.05122307964136441,-0.001023581392316772,0.05273622549187575,0.006171729821764973,2.3863330443019662e-05
HRV,1.6280546190692509,0.023044357941119312,-0.0007424734465858451,0.2336947364581851,0.010985548057659276,9.405433822342184e-05
HTI,1.1379860841867726,0.05309870998263071,-0.0010234133382695104,0.05326267456927439,0.006162439370963377,2.3865310617629223e-05
HUN,1.0741392468254474,0.04580998136928781,-0.0009702764934602648,0.18856514103820365,0.009795332219173844,8.235702841481321e-05
IDN,1.3336821084142607,0.04937487495289557,-0.001038129822638078,0.05020364108287321,0.006307696954356304,2.3974353610952996e-05
IND,1.3880764473328981,0.05343869849133104,-0.0010966766465786391,0.04580576606194776,0.006246848119189465,2.4008509287115248e-05
IRL,0.9873494018685306,0.046345762073801686,-0.0009804964510655434,0.05955492263776292,0.006381602986771972,3.447307611780626e-05
IRN,1.066725309014273,0.0477037901827168,-0.0009704683733584574,0.047322172251940124,0.006170027755534108,2.388503005597698e-05
IRQ,1.2199745012128496,0.04910473798673268,-0.0010161107098176254,0.05811436095143765,0.006422338865554935,3.182040632650484e-05
ISL,1.3478532545696809,0.03132057227899071,-0.000824842061098563,0.23509494214551563,0.01092718092663133,9.409465599063658e-05
ISR,0.8897843352620333,0.04992252807890031,-0.001000001517840035,0.23239363439334665,0.011043455598962583,9.405220049440503e-05
ITA,0.9353169162763072,0.04647564723611421,-0.0009688578726947117,0.045232447048650135,0.005959604692585072,2.419952141573396e-05
JAM,1.069057636407908,0.05145938115535521,-0.0010186193848335696,0.05823536530638008,0.006321534311190262,2.946799891515841e-05
JOR,1.1857925261620101,0.04446337918383683,-0.0009396062366006097,0.07824765983643002,0.006933228416386035,4.419695786886597e-05
JPN,1.0047594605634287,0.04376236460025858,-0.0009434111187623939,0.04716661330837949,0.005934963377314076,2.4245486515368e-05
KAZ,0.003635051853265429,0.09604829149827442,-0.00150615979567148,0.1815387832673895,0.00945510730216602,7.936085610345001e-05
KEN,1.2376051476958585,0.049206055663602435,-0.0009938066055527467,0.05038686349198617,0.006191823500899993,2.3880746860842402e-05
KGZ,0.8036829487363927,0.06948369068486024,-0.001209837378355172,0.14182097588148027,0.008457989212008838,6.804257730297353e-05
KHM,0.13938094066478457,0.10890230133903253,-0.0016569899374212493,0.20390738592789384,0.01074538082154477,8.82863651663126e-05
KOR,1.222817669674713,0.042804917011762506,-0.000986617564103981,0.0523557262670268,0.006062029386690835,2.4163938400264784e-05
KWT,1.6531466280900173,0.020495974954672855,-0.0007036950843960083,0.19755016354920807,0.00998086679225801,8.529453962290212e-05
LAO,1.2757111935764496,0.05649194862854738,-0.0011301017094358934,0.12329963459132742,0.008215212982850367,6.247637413964849e-05
LBN,0.8466827084107565,0.06328323938072679,-0.0012062813211650703,0.16980456775033198,0.009196633030013633,7.967942013670763e-05
LBR,-0.9373664924870838,0.13786656309886597,-0.0018278111324927515,0.2985523079371111,0.012771178413608466,0.00010861918460570142
